trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
339,False,"{'a': 0.9, 'e': 8.7016298152644e-06}",25,10,27.19221415326642,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.9, 'e': 8.65051903114187e-06}",20,14,12.078674632534486,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.9, 'e': 8.599857242369777e-06}",25,16,15.628981601882334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.9, 'e': 8.54963920522554e-06}",20,16,7.5244905111255145,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.9, 'e': 8.499859752314087e-06}",25,14,18.773835114055736,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.9, 'e': 8.450513791238508e-06}",20,9,14.802233523431175,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.9, 'e': 8.401596303297626e-06}",20,4,19.168334982621452,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.9, 'e': 8.353102342209896e-06}",25,14,17.943900983090696,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.9, 'e': 8.305027032862993e-06}",20,2,34.24583998222279,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.9, 'e': 8.25736557008852e-06}",20,10,17.691671942826574,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.9, 'e': 8.210113217461269e-06}",25,11,21.469783819644423,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.9, 'e': 8.163265306122448e-06}",25,9,23.72499507635403,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.9, 'e': 8.11681723362635e-06}",20,9,19.513092837559757,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.9, 'e': 8.070764462809918e-06}",25,15,18.952122460215488,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.9, 'e': 8.025102520684701e-06}",20,10,17.016793539496714,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
